Price,CrimeRate,SchoolRating
103375.7614,29.06,6.4
316030.1699,10.64,6.23
333690.06,0.06,10.0
122305.3568,4.16,7.33
351798.8598,32.96,6.04
676922.4903,25.54,6.74
277316.3525,32.61,8.48
188922.9338,32.53,7.09
191607.2181,11.66,6.18
180729.6457,63.03,4.41
111788.6598,20.04,3.37
198941.9264,21.65,7.69
239464.1044,61.01,1.77
222228.9304,49.18,4.63
252241.3202,28.43,4.18
155707.1319,25.07,6.46
160019.0332,73.48,5.39
421588.8578,0.32,8.05
152376.5716,51.91,6.36
210733.5129,30.78,6.74
105041.6445,56.68,5.81
216972.8449,44.31,7.86
385041.5546,6.13,7.89
424385.0666,5.16,7.01
335869.6815,18.63,5.96
430556.8472,42.45,6.47
153297.265,48.03,5.76
312456.8833,34.29,6.29
506890.4558,13.18,5.55
390605.9215,41.17,7.97
430310.8257,50.41,8.49
769797.5161,38.6,7.86
256978.3221,35.27,5.03
205562.6791,26.54,7.83
318949.998,1.22,4.51
167546.7668,13.62,6.84
274558.259,32.23,8.5
122660.0682,24.76,7.0
654180.6485,35.64,10.0
121486.5873,6.59,7.24
279893.0825,26.65,6.3
410816.4987,33.74,7.77
490495.3436,48.52,5.77
399436.5842,20.06,9.68
206029.5987,16.66,6.11
222198.5451,41.79,7.01
273015.0238,22.32,4.64
248308.2316,41.12,8.01
353108.2819,8.22,5.27
353173.3423,25.41,6.11
244280.9675,17.68,9.58
191113.1065,46.63,5.4
277617.8096,26.44,4.85
521223.2561,20.41,8.18
103947.6295,12.0,6.75
171418.0448,44.4,3.51
275311.908,18.83,8.7
333708.0442,12.23,6.75
306202.9736,59.26,5.66
180247.7314,70.17,5.97
397236.8931,49.94,6.58
160304.1753,46.92,8.99
682875.7818,61.26,7.0
393215.7564,6.83,5.72
166673.7965,42.58,6.9
630994.2869,45.26,7.41
360053.6851,0.78,6.81
478799.9918,21.78,7.81
230289.9546,20.27,5.46
307315.345,7.24,1.35
528618.8707,47.96,4.01
98378.32224,19.26,8.7
692732.5812,49.62,4.86
422653.6677,36.72,4.07
606809.1906,23.52,5.67
257544.0629,17.39,5.66
334199.9353,41.11,8.56
284255.1623,16.2,5.49
108250.9154,12.69,6.36
138047.5627,11.39,6.62
234564.8609,29.8,6.09
252944.9569,43.84,5.24
170641.265,68.22,6.01
455997.1118,40.51,9.17
779931.8759,0.41,10.0
211883.045,11.73,6.06
370207.3866,13.03,10.0
235334.2782,2.7,8.18
207397.7233,27.16,6.97
633005.2522,30.16,4.86
646806.3598,40.12,8.5
220143.6872,36.23,9.46
224349.0624,62.53,5.8
137212.5389,22.17,6.8
254020.7906,16.52,9.84
216351.837,69.15,7.41
247083.9187,47.86,10.0
109758.7827,5.95,6.04
146397.9284,32.85,7.61
173722.5743,57.18,4.73
204115.2013,44.64,6.96
260976.6665,7.87,8.59
395125.7018,43.25,6.06
497692.5176,11.07,8.32
535835.6644,4.54,9.13
226768.2603,73.02,6.1
310305.5598,29.57,5.44
276203.9201,47.32,7.61
331247.0143,40.12,7.75
374402.1233,58.99,6.62
259757.602,36.08,5.08
118735.8676,19.21,5.34
280920.0402,36.67,8.86
202463.8609,32.39,7.37
543193.7648,52.88,7.22
410357.2197,16.84,5.86
173809.6441,30.84,6.58
217171.6912,25.79,4.32
389877.9007,22.63,9.05
208419.3752,2.78,9.57
370495.3218,26.18,9.92
103212.0744,49.0,4.22
127574.0886,39.45,5.21
166450.4353,10.18,6.32
309631.4746,51.17,5.86
196204.535,14.46,9.76
249538.9243,18.19,6.74
799996.2481,8.75,10.0
544763.5776,12.43,7.92
312296.6703,64.24,8.76
164903.4879,6.9,3.86
182897.1964,5.04,6.73
375795.8439,55.85,7.33
150830.2384,8.63,7.28
98879.35132,41.57,6.49
304631.685,32.57,5.11
225726.3565,46.13,7.36
155684.9643,42.44,3.19
299223.8467,43.05,4.2
415007.0335,54.19,5.77
142240.2358,67.75,5.86
374959.758,8.28,6.29
229519.262,15.76,7.53
255087.7075,35.22,10.0
379489.2465,8.65,6.0
216757.3556,12.46,8.32
160474.9654,22.66,6.29
253375.0876,28.99,6.48
254400.6244,12.9,5.77
120748.6048,74.47,3.21
210881.4665,21.49,6.51
308427.1324,31.81,7.53
655324.1759,32.25,8.38
969059.6957,29.5,10.0
461748.4582,34.46,7.19
233971.9901,68.61,7.11
748256.0279,56.05,10.0
227469.3042,3.54,8.65
319230.5488,59.67,8.94
136281.9799,35.05,6.82
362981.6337,36.6,6.35
284596.5952,21.92,8.44
241041.2506,21.72,7.22
149161.886,36.94,4.98
276656.5065,73.03,7.81
410697.6667,10.14,8.7
353477.4283,28.7,6.14
356183.7097,23.44,8.39
798826.0426,23.31,10.0
222852.3977,67.53,4.71
249815.1871,55.69,8.92
166987.0495,59.04,8.28
145718.0224,53.61,6.23
217954.655,14.42,8.41
442071.1893,24.88,7.96
319396.2929,0.56,9.53
404764.9182,10.33,7.4
720948.6752,0.92,10.0
151561.3852,28.13,6.09
129968.5095,0.66,7.3
280525.7092,33.79,9.61
358729.7227,40.65,7.38
704512.7722,13.31,7.65
470238.5325,57.37,8.02
284396.0632,27.49,6.52
455562.132,54.16,8.53
448231.5409,5.1,10.0
261273.8014,32.63,5.92
274343.871,28.31,6.26
354094.8412,33.56,5.16
110505.7101,8.29,8.23
171977.7174,4.18,4.31
178009.8491,28.25,5.74
130890.354,12.46,5.02
271626.442,6.93,8.27
249751.8563,23.15,10.0
101762.9942,29.58,3.46
401584.651,19.99,6.48
207601.5597,30.02,5.32
165832.1784,56.31,5.28
370626.9651,24.06,7.94
229867.2818,49.15,3.14
261299.0612,7.12,8.2
